,long,lat,group,order,region,State
91772,-160.1800232,21.84106445,1448,91772,USA,Hawaii
91773,-160.2002411,21.796875,1448,91773,USA,Hawaii
91774,-160.234726,21.80366135,1448,91774,USA,Hawaii
91775,-160.243454,21.84306526,1448,91775,USA,Hawaii
91776,-160.2209015,21.89726639,1448,91776,USA,Hawaii
91777,-160.1638641,21.94404411,1448,91777,USA,Hawaii
91778,-160.1006317,22.01523399,1448,91778,USA,Hawaii
91779,-160.0487366,22.00463867,1448,91779,USA,Hawaii
91780,-160.0767059,21.95810509,1448,91780,USA,Hawaii
91781,-160.0800323,21.90742111,1448,91781,USA,Hawaii
91782,-160.1534119,21.87875938,1448,91782,USA,Hawaii
91783,-160.1800232,21.84106445,1448,91783,USA,Hawaii
91785,-159.372757,21.93237305,1449,91785,USA,Hawaii
91786,-159.4606934,21.87612343,1449,91786,USA,Hawaii
91787,-159.5118713,21.90039063,1449,91787,USA,Hawaii
91788,-159.6088409,21.90952301,1449,91788,USA,Hawaii
91789,-159.6463776,21.95175934,1449,91789,USA,Hawaii
91790,-159.7480011,21.98984337,1449,91790,USA,Hawaii
91791,-159.7891541,22.04179764,1449,91791,USA,Hawaii
91792,-159.7266083,22.1401844,1449,91792,USA,Hawaii
91793,-159.5792084,22.22314453,1449,91793,USA,Hawaii
91794,-159.3520508,22.2195797,1449,91794,USA,Hawaii
91795,-159.3047943,22.15405273,1449,91795,USA,Hawaii
91796,-159.3006744,22.1052742,1449,91796,USA,Hawaii
91797,-159.3301697,22.05068398,1449,91797,USA,Hawaii
91798,-159.34375,21.97363281,1449,91798,USA,Hawaii
91799,-159.372757,21.93237305,1449,91799,USA,Hawaii
91801,-81.78383636,24.54458046,1450,91801,USA,Florida
91802,-81.80922699,24.5423336,1450,91802,USA,Florida
91803,-81.81142426,24.55781174,1450,91803,USA,Florida
91804,-81.76767731,24.57670975,1450,91804,USA,Florida
91805,-81.73867035,24.57543945,1450,91805,USA,Florida
91806,-81.73974609,24.55449295,1450,91806,USA,Florida
91807,-81.78383636,24.54458046,1450,91807,USA,Florida
91809,-81.56669617,24.59990311,1451,91809,USA,Florida
91810,-81.63150024,24.5900383,1451,91810,USA,Florida
91811,-81.57924652,24.62939453,1451,91811,USA,Florida
91812,-81.56230927,24.68915939,1451,91812,USA,Florida
91813,-81.5316391,24.64248085,1451,91813,USA,Florida
91814,-81.53222656,24.61416054,1451,91814,USA,Florida
91815,-81.56669617,24.59990311,1451,91815,USA,Florida
91817,-81.33481598,24.6504879,1452,91817,USA,Florida
91818,-81.36479187,24.6299324,1452,91818,USA,Florida
91819,-81.37905121,24.63627815,1452,91819,USA,Florida
91820,-81.37905121,24.66625977,1452,91820,USA,Florida
91821,-81.42168427,24.73261642,1452,91821,USA,Florida
91822,-81.42006683,24.75,1452,91822,USA,Florida
91823,-81.32231903,24.68505859,1452,91823,USA,Florida
91824,-81.31982422,24.66762733,1452,91824,USA,Florida
91825,-81.33481598,24.6504879,1452,91825,USA,Florida
91827,-81.04418945,24.71679688,1453,91827,USA,Florida
91828,-81.08999634,24.69311523,1453,91828,USA,Florida
91829,-81.13735199,24.7104969,1453,91829,USA,Florida
91830,-81.08525085,24.73417854,1453,91830,USA,Florida
91831,-80.9304657,24.7594738,1453,91831,USA,Florida
91832,-80.98891449,24.72788048,1453,91832,USA,Florida
91833,-81.04418945,24.71679688,1453,91833,USA,Florida
91835,-80.82939148,24.80366325,1454,91835,USA,Florida
91836,-80.8483429,24.80366325,1454,91836,USA,Florida
91837,-80.83886719,24.81787109,1454,91837,USA,Florida
91838,-80.79941559,24.84628868,1454,91838,USA,Florida
91839,-80.78520203,24.83525467,1454,91839,USA,Florida
91840,-80.78676605,24.82104492,1454,91840,USA,Florida
91841,-80.82939148,24.80366325,1454,91841,USA,Florida
91849,-80.38183594,25.14228439,1456,91849,USA,Florida
91850,-80.58056641,24.95424843,1456,91850,USA,Florida
91851,-80.55854034,25.00131798,1456,91851,USA,Florida
